WMOID  STATION NAME                   COUNTRY                                            STATE                          COUNTY                         CD LATITUDE LONGITUDE ELEVATION
31253  BOMNAK                         RUSSIA                                                                                                                  5443     12856       357
31329  EKIMCAN                        RUSSIA                                                                                                                  5304     13259       542
31369  NIKOLAEVSK-NA-AMURE            RUSSIA                                                                                                                  5309     14042        68
31416  IM POLINY OSIPENKO             RUSSIA                                                                                                                  5225     13630         3
31707  EKATERINO-NIKOL'SKOE           RUSSIA                                                                                                                  4744     13058         3
31829  MYS ZOLOTOJ                    RUSSIA                                                                                                                  4719     13859        26
31873  DAL'NERECHENSK                 RUSSIA                                                                                                                  4552     13343       101
31960  VLADIVOSTOK                    RUSSIA                                                                                                                  4307     13156       183
32061  ALEKSANDROVSK-SAHALINSKIJ      RUSSIA                                                                                                                   500     14210        31
32098  PORONAJSK                      RUSSIA                                                                                                                  4913     14306         8
32150  JUZHNO-SAHALINSK               RUSSIA                                                                                                                  4657     14243        24
32252  UST'VAJAMPOLKA                 RUSSIA                                                                                                                  5830     15910         7
32389  KLJUCI                         RUSSIA                                                                                                                  5619     16050        29
32618  NIKOL'SKOE                     RUSSIA                                                                                                                  5512     16559        18
33038  VASILEVICI                     BELARUS                                                                                                                 5215      2950       142
33317  SHEPETIVKA                     UKRAINE                                                                                                                 5010      2702       278
33377  LUBNY                          UKRAINE                                                                                                                 5000      3301       158
33587  UMAN'                          UKRAINE                                                                                                                 4846      3014       216
33915  ASKANIIA NOVA                  UKRAINE                                                                                                                 4627      3353        30
33998  AI-PETRI                       UKRAINE                                                                                                                 4426      3405      1180
34123  VORONEZ                        RUSSIA                                                                                                                   510      3913       149
34163  OKTJABR'SKIJ GORODOK           RUSSIA                                                                                                                  5138      4527       201
34866  JASKUL'                        RUSSIA                                                                                                                  4611      4521        -7
34880  ASTRAHAN'                      RUSSIA                                                                                                                  4616      4758       -23
35078  ATBASAR                        KAZAKHSTAN                                                                                                              5149      6822       304
35108  URALSK                         KAZAKHSTAN                                                                                                              5115      5117        37
35394  KARAGANDA                      KAZAKHSTAN                                                                                                              4948      7309       553
35416  UIL                            KAZAKHSTAN                                                                                                              4904      5441       128
35796  BALHASH                        KAZAKHSTAN                                                                                                              4648      7505       350
35849  KAZALINSK                      KAZAKHSTAN                                                                                                              4546      6207        68
35925  SAM                            KAZAKHSTAN                                                                                                              4524      5607        88
36177  SEMIPALATINSK                  KAZAKHSTAN                                                                                                              5025      8018       196
36535  KOKPEKTY                       KAZAKHSTAN                                                                                                              4845      8222       512
36859  PANFILOV                       KAZAKHSTAN                                                                                                              4410      8004       645
36870  ALMATY                         KAZAKHSTAN                                                                                                              4314      7656       851
36974  NARYN                          KYRGYZSTAN                                                                                                               416      7559      2041
37549  TBILISI                        GEORGIA                                                                                                                 4141      4457       448
38001  FORT SEVCENKO                  UZBEKISTAN                                                                                                              4433      5015       -25
38178  AK-BAJTAL                      UZBEKISTAN                                                                                                               439      6419       234
38262  CIMBAJ                         UZBEKISTAN                                                                                                              4257      5949        66
38353  BISHKEK                        KYRGYZSTAN                                                                                                              4251      7431       760
38396  URGENCH                        UZBEKISTAN                                                                                                              4134      6034       101
38403  BUZAUBAJ                       UZBEKISTAN                                                                                                              4145      6228        98
38413  TAMDY                          UZBEKISTAN                                                                                                              4144      6437       237
38457  TASHKENT                       UZBEKISTAN                                                                                                              4116      6916       488
38507  TURKMENBASHI (KRASNOVOD)       UZBEKISTAN                                                                                                              4000      5300        82
38611  NAMANGAN                       UZBEKISTAN                                                                                                              4058      7134       474
38618  FERGANA                        UZBEKISTAN                                                                                                              4022      7145       577
38683  BUHARA                         UZBEKISTAN                                                                                                              3943      6437       226
38696  SAMARKAND                      UZBEKISTAN                                                                                                              3934      6657       724
38750  ESENGYLY (GASAN-KULI)          UZBEKISTAN                                                                                                              3728      5359       -22
38763  GYZYLARBAT (KIZYL-ARVAT)       UZBEKISTAN                                                                                                              3859      5616        92
38812  KARSHI                         UZBEKISTAN                                                                                                               380      6543       376
38895  BAJRAMALY                      UZBEKISTAN                                                                                                              3736      6211       240
38927  TERMEZ                         UZBEKISTAN                                                                                                              3713      6716       310
38933  KURGAN-TYUBE                   TAJIKISTAN                                                                                                              3750      6847       429
38954  KHOROG                         TAJIKISTAN                                                                                                              3730      7130      2077
40001  KAMISHLI                       SYRIA                                                                                                                   3703      4113       455
40022  LATTAKIA                       SYRIA                                                                                                                   3532      3546         7
40061  PALMYRA                        SYRIA                                                                                                                   3433      3818       404
40199  EILAT                          ISRAEL                                                                                                                  2933      3457        12
40361  AL-JOUF                        SAUDI ARABIA                                                                                                            2947      4006       689
40394  HAIL                           SAUDI ARABIA                                                                                                            2726      4141      1002
40430  MADINAH                        SAUDI ARABIA                                                                                                            2433      3942       636
40438  RIYADH                         SAUDI ARABIA                                                                                                            2443      4644       620
40582  KUWAIT AP                      KUWAIT                                                                                                                  2913      4759        55
40665  KUT-AL-HAI                     IRAQ                                                                                                                    3210      4603        15
40706  TABRIZ                         IRAN                                                                                                                    3805      4617        11
40745  MASHHAD                        IRAN                                                                                                                    3616      5938       999
40754  TEHRAN-MEHRABAD                IRAN                                                                                                                    3540      5119      1191
40766  KERMANSHAH                     IRAN                                                                                                                    3416       477      1322
40841  KERMAN                         IRAN                                                                                                                    3015      5658      1754
40848  SHIRAZ                         IRAN                                                                                                                    2932      5235      1481
40856  ZAHEDAN                        IRAN                                                                                                                    2928      6052      1370
41024  JEDDAH KING ABDUL AZIZ         SAUDI ARABIA                                                                                                            2143      3911        17
41150  BAHRAIN AP                     BAHRAIN                                                                                                                 2616      5039         2
41196  SHARJAH AP                     UNITED ARAB EMIRATES                                                                                                    2520      5531        33
41288  MASIRAH                        OMAN                                                                                                                    2040      5854     -9999
41316  SALALAH                        OMAN                                                                                                                    1702      5405        23
41560  PARACHINAR                     PAKISTAN                                                                                                                3352      7005      1726
41620  ZHOB                           PAKISTAN                                                                                                                3121      6928      1407
41640  LAHORE CITY                    PAKISTAN                                                                                                                3133      7420       215
41712  DAL BANDIN                     PAKISTAN                                                                                                                2853      6424       850
41759  PASNI                          PAKISTAN                                                                                                                2516      6329         6
41764  HYDERABAD AP                   PAKISTAN                                                                                                                2523      6825        30
41765  HYDERABAD                      PAKISTAN                                                                                                                2523      6825     -9999
42027  SRINAGAR                       INDIA                                                                                                                   3405      7450      1587
42083  SHIMLA                         INDIA                                                                                                                   3106      7710      2202
42165  BIKANER                        INDIA                                                                                                                   2800      7318       224
42182  NEW DELHI SAFDARJUNG           INDIA                                                                                                                   2835      7712       216
42295  DARJEELING                     INDIA                                                                                                                   2703      8816      2128
42410  GUWAHATI                       INDIA                                                                                                                   2606      9135        54
42515  CHERRAPUNJI                    INDIA                                                                                                                   2515      9144      1313
42539  DEESA                          INDIA                                                                                                                   2412      7212       136
42587  DALTONGANJ                     INDIA                                                                                                                   2403      8404       221
42671  SAGAR                          INDIA                                                                                                                   2351      7845       551
42731  DWARKA                         INDIA                                                                                                                   2222      6905        11
43041  JAGDALPUR                      INDIA                                                                                                                   1905      8202       553
43063  PUNE                           INDIA                                                                                                                   1832      7351       559
43128  HYDERABAD AP                   INDIA                                                                                                                   1727      7828       545
43279  CHENNAI MINAMBAKKAM            INDIA                                                                                                                   1300      8011        16
43295  BANGALORE                      INDIA                                                                                                                   1258      7735       921
43333  PORT BLAIR                     INDIA                                                                                                                   1140      9243         9
43339  KODAIKANAL                     INDIA                                                                                                                   1014      7728      2343
43363  PAMBAN                         INDIA                                                                                                                    916      7918        11
43369  MINICOY                        INDIA                                                                                                                    818      7309         2
43473  NUWARA ELIYA                   SRI LANKA                                                                                                                658      8046     -9999
