WMOID STATION NAME                   YEAR MONTHS OF DATA AVAILABLE
43279 CHENNAI MINAMBAKKAM            1999 12
43333 PORT BLAIR                     1999 12
43363 PAMBAN                         2005 5
43363 PAMBAN                         1998 12
43363 PAMBAN                         1996 12
43497 HAMBANTOTA                     2005 5
43497 HAMBANTOTA                     2000 12
44212 ULAAN-GOM                      2001 12
44212 ULAAN-GOM                      1999 12
44212 ULAAN-GOM                      1995 1
44218 HOVD                           2001 12
44218 HOVD                           1999 12
44218 HOVD                           1998 12
44218 HOVD                           1995 1
44231 MUREN                          1998 12
44239 BULGAN                         2003 12
44239 BULGAN                         1996 12
44239 BULGAN                         1995 1
44259 CHOIBALSAN                     2004 12
44288 ARVAIHEER                      2004 12
44288 ARVAIHEER                      2001 12
44288 ARVAIHEER                      1998 12
44341 MANDALGOBI                     1998 12
44341 MANDALGOBI                     1995 1
44373 DALANZADGAD                    2004 12
44373 DALANZADGAD                    1995 1
44454 KATHMANDU AIRPORT              1996 12
44454 KATHMANDU AIRPORT              1995 1
47115 ULLUNGDO                       2000 12
47165 MOKP'O                         2000 12
41024 JEDDAH KING ABDUL AZIZ         2002 12
41150 BAHRAIN AP                     2005 5
41150 BAHRAIN AP                     2002 12
41150 BAHRAIN AP                     1997 12
41150 BAHRAIN AP                     1996 12
41288 MASIRAH                        1999 12
41288 MASIRAH                        1997 12
41316 SALALAH                        2004 12
41316 SALALAH                        2002 12
41316 SALALAH                        1995 1
41560 PARACHINAR                     2003 12
41560 PARACHINAR                     2002 12
41620 ZHOB                           1996 12
41640 LAHORE CITY                    2000 12
41712 DAL BANDIN                     2002 12
41712 DAL BANDIN                     2001 12
41759 PASNI                          1998 12
42027 SRINAGAR                       2003 12
42027 SRINAGAR                       1998 12
42165 BIKANER                        2004 12
42165 BIKANER                        2001 12
42165 BIKANER                        1996 12
42165 BIKANER                        1995 1
42182 NEW DELHI SAFDARJUNG           2003 12
42587 DALTONGANJ                     1996 12
38001 FORT SEVCENKO                  1998 12
38262 CIMBAJ                         1997 12
38403 BUZAUBAJ                       2003 11
38403 BUZAUBAJ                       2001 3
38413 TAMDY                          1997 12
38457 TASHKENT                       1998 12
38457 TASHKENT                       1997 12
38507 TURKMENBASHI (KRASNOVOD)       2004 12
38507 TURKMENBASHI (KRASNOVOD)       1998 12
38507 TURKMENBASHI (KRASNOVOD)       1995 1
38618 FERGANA                        2003 12
38683 BUHARA                         2004 12
38696 SAMARKAND                      2002 10
38812 KARSHI                         2004 12
38812 KARSHI                         2002 10
38927 TERMEZ                         2001 3
